word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,en,pof,example,pof_ko,example_ko,word2,syn_n,syn_v,syn_a,ant2
fallacy,(많은 사람들이 옳다고 믿는) 틀린 생각,谬见，谬论，谬误,,/ˈfaləsi/,,"mistaken belief, misbelief, delusion, false notion, mistaken impression, misapprehension, misjudgement, miscalculation, misinterpretation, misconstruction, error, mistake, untruth, inconsistency, illusion, myth, fantasy, deceit, deception, sophism","From Middle English, from Old French fallace, from Latin fallacia (“deception, deceit”), from fallax (“deceptive, deceitful”), from fallere (“to deceive”).
","A fallacy is an idea which many people believe to be true, but which is in fact false because it is based on incorrect information or reasoning.",[NOUN],It's a fallacy that the affluent give relatively more to charity than the less prosperous,[명사],It is a fallacy to say that the camera never lies.,fallacy,"error, falsehood, falsity, misconception, untruth, fault, flaw, inconsistency ",,,truth  validity
intransigent,"고집스러운, 비협조적인",固执的，不妥协的，不让步的,,/ɪnˈtransɪdʒ(ə)nt/,,"inflexible, unbending, unyielding, unshakeable, unwavering, resolute, unpersuadable, unmalleable, unaccommodating, uncooperative, stubborn, obstinate, obdurate, pig-headed, bull-headed, single-minded, iron-willed, hard-line, hard and fast, diehard, immovable, unrelenting, inexorable, inveterate, rigid, tough, firm, determined, adamant, tenacious","Borrowed from French intransigeant, from Spanish intransigente, from Latin in- (“un-, not”) + trānsigēns, present participle of trānsigō (“to come to an understanding”), from trāns (“across”) +‎ agō (“to do”).
","If you describe someone as intransigent, you mean that they refuse to behave differently or to change their attitude to something.",[ADJ],They put pressure on the Government to change its intransigent stance,[형용사],,intransigent,,,,
ludicrous,터무니없는,愚蠢可笑的；荒谬的,,/ˈl(j)uːdɪkrəs/,,"ridiculous, farcical, laughable, risible, preposterous, foolish, idiotic, stupid, inane, silly, asinine, nonsensical","First attested in 1619. From Latin lūdicrus, from lūdō (“play”).
","If you describe something as ludicrous, you are emphasizing that you think it is foolish, unreasonable, or unsuitable.",[ADJ],It was ludicrous to suggest that the visit could be kept secret,[형용사],a ludicrous suggestion,ludicrous,,,"absurd, laughable, outlandish, preposterous, silly, ridiculous ",reasonable
articulate,(생각감정을) 분명히 표현하다[설명하다],能表达清楚的，善于表达的；口齿伶俐的，有口才的,,/ɑːˈtɪkjʊlət/,,"fluent, communicative, effective, persuasive, coherent, lucid, vivid, expressive, silver-tongued, vocal",,"If you describe someone as articulate, you mean that they are able to express their thoughts and ideas easily and well.",[ADJ],She is an articulate young woman,[동사],She struggled to articulate her thoughts.,articulate,,"enunciate, pronounce, utter, vocalize, clarify, explain, explicate, expound ","eloquent, fluent, smooth, clear, definite, distinct, intelligible, lucid, hinged, jointed ","confound, separate, inarticulate  convoluted"
incursion,급습,（尤指跨越边境的）侵入，侵犯,,/ɪnˈkəːʃ(ə)n/,,"assault on, raid on, invasion of, storming of, overrunning of, foray into, blitz on, sortie into, sally against, sally into, advance into, advance on, push into, thrust into, descent on","From Middle English, borrowed from Old French, from Latin incursio, incursionem.
","If there is an incursion into a country, enemy soldiers suddenly enter it.",[NOUN],armed incursions into border areas by rebel forces.,[명사],,incursion,"aggression, assault, attack, onslaught, raid, encroachment, incursion, infringement, intrusion ",,,retreat
vindictive,"앙심을 품은, 보복을 하려는",想复仇的；报复性的；怀恨在心的,,/vɪnˈdɪktɪv/,,"out for revenge, revengeful, avenging, unforgiving, grudge-bearing, resentful, ill-disposed, implacable, unrelenting, acrimonious, bitter","From Latin vindicta (“vengeance”), from vindico (“claim, vindicate”), from vindex (“defender”),  +‎ -ive.
","If you say that someone is vindictive, you are critical of them because they deliberately try to upset or cause trouble for someone who they think has done them harm.",[ADJ],a vindictive woman desperate for revenge against the man who loved and left her.,[형용사],He accused her of being vindictive.,vindictive,,,"hateful, malevolent, malicious, rancorous, spiteful, vengeful, venomous ",forgiving
perfunctory,형식[의무/습관]적인,草率的；马虎的；敷衍的,,/pəˈfʌŋ(k)t(ə)ri/,,desultory,"From Late Latin perfunctōrius, from the past participial stem of perfungor, perfunct- (“perform, carry through”), from per- + fungor.
","A perfunctory action is done quickly and carelessly, and shows a lack of interest in what you are doing.",[ADJ],She gave the list only a perfunctory glance,[형용사],a perfunctory nod/smile,perfunctory,,,"cursory, haphazard, hasty, mechanical, superficial, apathetic, halfhearted, indifferent, nonchalant ",thorough  zealous
allegory,"우화, 풍자",寓言；讽喻,,/ˈalɪɡ(ə)ri/,,"analogy, metaphor, symbol, emblem","From Middle English allegorie, from Old French allegorie, from Latin allegoria, from Ancient Greek ἀλληγορία (allēgoría), from ἄλλος (állos, “other”) + ἀγορεύω (agoreúō, “I speak”).
","An allegory is a story, poem, or painting in which the characters and events are symbols of something else. Allegories are often moral, religious, or political.",[NOUN],The book is a kind of allegory of Latin American history.,[명사],a political allegory,allegory,"analogy, comparison, symbol, fable  parable",,,
fiduciary,(자산) 신탁의,信托的；信用的,,/fɪˈdjuːʃ(ə)ri/,,,"From Latin fīdūciārius (“held in trust”), from fīdūcia (“trust”).
","Fiduciary is used to talk about things which relate to a trust, or to the people who are in charge of a trust.",[ADJ],They have a case against their directors for breach of fiduciary duty.,[형용사],the company’s fiduciary duty to its shareholders,fiduciary,,,,
rebuke,"힐책[질책]하다, 꾸짖다",斥责；指责；训斥,,/rɪˈbjuːk/,,"reproach, scold, admonish, reprove, remonstrate with, chastise, chide, upbraid, berate, take to task, pull up, castigate, lambaste, read someone the Riot Act, give someone a piece of one's mind, haul over the coals, criticize, censure","From Middle English rebuken, from Anglo-Norman rebuker (“to beat back, repel”), from re- + Old French *buker, buchier, buschier (“to strike, hack down, chop”), from busche (“wood”), from Vulgar Latin buska (“wood, grove”), from Frankish *busc, *busk (“grove”), from Proto-Germanic *buskaz (“bush”); equivalent to re- +‎ bush.
","If you rebuke someone, you speak severely to them because they have said or done something that you do not approve of.",[VERB],The president rebuked the House and Senate for not passing those bills within 100 days.,[동사],The company was publicly rebuked for having neglected safety procedures.,rebuke,,"admonish, censure, chide, reprimand, reprove, scold ",,praise
sardonic,"가소롭다는 듯한, 냉소적인, 조소하는",讥讽的，冷嘲的，轻蔑的,,/sɑːˈdɒnɪk/,,satirical,"From French sardonique[1], from Latin sardonius, from Ancient Greek σαρδόνιος (sardónios), alternative form of σαρδάνιος (sardánios, “bitter or scornful laughter”), which is often cited as deriving from the Sardinian plant (Ranunculus sardous), known as either σαρδάνη (sardánē) or σαρδόνιον (sardónion). When eaten, it would cause the eater's face to contort in a look resembling scorn (generally followed by death)[2]. It might also be related to σαίρω (saírō, “I grin”).
","If you describe someone as sardonic, you mean their attitude to people or things is humorous but rather critical.",[ADJ],"a big, sardonic man, who intimidated his students.",[형용사],a sardonic smile,sardonic,,,,
agitate,(특히 법적·사회적 사항 등의 변경을 강력히) 주장하다[요구하다],使焦虑；使躁动不安,,/ˈadʒɪteɪt/,,"perturb, fluster, ruffle, disconcert, unnerve, disquiet, disturb, distress, unsettle, bother, concern, trouble, cause anxiety to, make anxious, alarm, work up, flurry, worry","From Middle English, from Latin agitatus, past participle of agitare (“to put in motion”), from agere (“to move”). Compare with French agiter. See act, agent.
","If people agitate for something, they protest or take part in political activity in order to get it.",[VERB],The women who worked in these mills had begun to agitate for better conditions.,[동사],[V] political groups agitating for social change,agitate,,"disturb, excite, impassion, incite, provoke, churn, mix, shake ",,calm
platitude,진부한 이야기[의견],陈腔滥调；老生常谈,,/ˈplatɪtjuːd/,,"truism, commonplace, banal saying, hackneyed saying, overworked saying, trite saying, banality, old chestnut","From French platitude, from plat (“flat”), from Vulgar Latin *plattus, from Ancient Greek πλᾰτῠ́ς (platús).
",A platitude is a statement which is considered meaningless and boring because it has been made many times before in similar situations.,[NOUN],Why couldn't he say something original instead of spouting the same old platitudes?,[명사],,platitude,"banality, bromide, clich)  triteness",,,
rue,후회하다,对…感到懊悔；对…感到后悔；因为…感到遗憾,,/ruː/,,"be sorry about, feel apologetic about, feel remorseful about, feel remorse for, repent of","Borrowed from Anglo-Norman ruwe, from Latin rūta, from Ancient Greek ῥυτή (rhutḗ).
","If you rue something that you have done, you are sorry that you did it, because it has had unpleasant results.",[VERB],Tavare was probably ruing his decision.,[동사],He rued the day they had bought such a large house.,rue,,"bemoan, curse, grieve, lament, regret ",,celebrate
feigned,"거짓의, 허위의; 꾸민",假装，装作，佯装(有某种感觉或生病、疲倦等),,/feɪnd/,,,,"If someone feigns a particular feeling, attitude, or physical condition, they try to make other people think that they have it or are experiencing it, although this is not true.",[VERB],"One morning, I didn't want to go to school, and decided to feign illness",[형용사],a feigned illness,feigned,,"affect, imitate, pretend, simulate, concoct, counterfeit, fabricate  invent",,
dilettante,"딜레탕트, 호사가",一知半解者；半吊子；业余爱好者,,/ˌdɪlɪˈtanteɪ/,,"potterer, tinkerer, trifler, dallier","From Italian dilettante, prop. present participle of dilettare (“to delight”), from Latin dēlectāre (“to delight”).
","You can use dilettante to talk about someone who seems interested in a subject, especially in art, but who does not really know very much about it.",[NOUN],,[명사],,dilettante,,,,
lackadaisical,"부주의한, 태만한",无精打采的，萎靡不振的，不热心的,,/ˌlakəˈdeɪzɪk(ə)l/,,"lazy, lax, unenthusiastic, half-hearted, uninterested, lukewarm, indifferent, uncaring, unconcerned, casual, offhand, blasé, insouciant, leisurely, relaxed","From the archaic interjection lackaday, lackadaisy.
","If you say that someone is lackadaisical, you mean that they are rather lazy and do not show much interest or enthusiasm in what they do.",[ADJ],Dr. Jonsen seemed a little lackadaisical at times.,[형용사],,lackadaisical,,," idle, indolent, lazy, languid, lethargic, lifeless, listless, apathetic, impassive, indifferent, lackluster ",industrious  energetic
forfend,"막다, 방지하다",防止;阻止;挡住;挡开,,/fɔːˈfɛnd/,,,"From Middle English forfenden (“to ward off, protect, prohibit”), equivalent to for- +‎ fend.
",to protect or secure,[VERB],,[동사],Heaven forfend that students are encouraged to think!,forfend,,,,
deficient,(필수적인 것이) 부족한[결핍된],缺乏的，缺少的,,/dɪˈfɪʃ(ə)nt/,,"wanting, defective, inadequate, insufficient, limited, poor, scant","From Latin deficiens, present participle of deficere (“to lack, fail, be wanting”); see defect.
","If someone or something is deficient in a particular thing, they do not have the full amount of it that they need in order to function normally or work properly.",[ADJ],a diet deficient in vitamin B.,[형용사],a diet that is deficient in vitamin A,deficient,,,"inadequate, lacking, wanting, insufficient, scanty, scarce, defective, faulty, flawed, impaired, inferior ","adequate, sufficient  perfect"
novitiate,수사[수녀] 수련 기간,(修士或修女的)初学期,,/nə(ʊ)ˈvɪʃɪət/,,"probation, trial period, test period, apprenticeship, training period, traineeship, training, initiation","From Middle French novitiat, from Medieval Latin novitiatus (“a novitiate”), from Latin novicius, novitius (“a novice”), from novus (“new”).
","the state of being a novice, esp in a religious order, or the period for which this lasts",[NOUN],,[명사],,novitiate,,,,
